temperature,ph,turbidity,tds,light,timestamp,risk_score,risk_level
24.96,7.29,21.46,276.31,4.41,2026-03-16 13:45:57.202,15,Safe
24.23,7.29,38.65,278.19,14.59,2026-03-16 13:48:57.202,30,Safe
23.82,7.3,42.33,280.05,2.02,2026-03-16 13:51:57.202,50,Moderate
23.58,7.27,27.35,282.38,12.8,2026-03-16 13:54:57.202,35,Moderate
23.29,7.26,41.12,284.16,18.29,2026-03-16 13:57:57.202,50,Moderate
22.9,7.23,46.84,284.61,12.55,2026-03-16 14:00:57.202,50,Moderate
22.9,7.24,25.74,285.81,2.23,2026-03-16 14:03:57.202,35,Moderate
22.82,7.24,42.5,288.31,10.79,2026-03-16 14:06:57.202,50,Moderate
22.67,7.22,42.7,287.87,1.38,2026-03-16 14:09:57.202,50,Moderate
22.68,7.19,29.92,288.13,13.0,2026-03-16 14:12:57.202,35,Moderate
22.8,7.18,40.3,289.67,4.76,2026-03-16 14:15:57.202,50,Moderate
22.67,7.18,30.9,290.59,13.47,2026-03-16 14:18:57.202,50,Moderate
22.88,7.16,27.69,291.19,11.01,2026-03-16 14:21:57.202,35,Moderate
22.95,7.14,28.58,291.87,15.68,2026-03-16 14:24:57.202,35,Moderate
22.94,7.11,41.09,293.03,10.06,2026-03-16 14:27:57.202,50,Moderate
22.86,7.08,39.79,293.94,11.67,2026-03-16 14:30:57.202,50,Moderate
22.97,7.04,28.0,293.5,1.47,2026-03-16 14:33:57.202,35,Moderate
22.93,7.04,33.4,295.17,5.99,2026-03-16 14:36:57.202,50,Moderate
23.04,7.02,33.09,296.27,16.92,2026-03-16 14:39:57.202,50,Moderate
23.0,7.01,46.03,297.98,10.91,2026-03-16 14:42:57.202,50,Moderate
23.09,7.02,44.42,298.36,8.13,2026-03-16 14:45:57.202,50,Moderate
23.02,7.01,37.93,299.77,5.34,2026-03-16 14:48:57.202,50,Moderate
23.04,6.99,31.32,301.24,19.34,2026-03-16 14:51:57.202,50,Moderate
22.88,6.95,28.89,302.2,6.27,2026-03-16 14:54:57.202,35,Moderate
22.82,6.94,37.62,303.68,13.28,2026-03-16 14:57:57.202,50,Moderate
22.76,6.93,46.1,304.94,12.31,2026-03-16 15:00:57.202,50,Moderate
22.8,6.93,33.18,305.57,1.7,2026-03-16 15:03:57.202,50,Moderate
22.8,6.91,49.63,305.88,12.6,2026-03-16 15:06:57.202,50,Moderate
22.62,6.87,48.44,306.98,4.98,2026-03-16 15:09:57.202,50,Moderate
22.52,6.86,43.59,307.5,14.87,2026-03-16 15:12:57.202,50,Moderate
22.46,6.82,37.61,307.94,4.63,2026-03-16 15:15:57.202,50,Moderate
22.6,6.82,44.11,308.95,0.12,2026-03-16 15:18:57.202,50,Moderate
22.61,6.82,45.01,310.73,8.09,2026-03-16 15:21:57.202,50,Moderate
22.68,6.81,32.75,311.67,6.54,2026-03-16 15:24:57.202,50,Moderate
22.78,6.81,40.01,313.62,18.99,2026-03-16 15:27:57.202,50,Moderate
22.65,6.78,46.3,314.61,19.29,2026-03-16 15:30:57.202,50,Moderate
22.57,6.78,42.47,317.7,2.42,2026-03-16 15:33:57.202,50,Moderate
22.64,6.73,42.53,319.51,8.71,2026-03-16 15:36:57.202,50,Moderate
22.7,6.7,51.75,320.79,9.29,2026-03-16 15:39:57.202,50,Moderate
22.61,6.7,36.09,321.7,14.4,2026-03-16 15:42:57.202,50,Moderate
22.64,6.68,39.16,323.3,14.92,2026-03-16 15:45:57.202,50,Moderate
22.68,6.65,48.77,323.69,10.49,2026-03-16 15:48:57.202,50,Moderate
22.67,6.65,47.43,325.75,17.45,2026-03-16 15:51:57.202,50,Moderate
22.54,6.59,46.81,328.35,6.08,2026-03-16 15:54:57.202,50,Moderate
22.55,6.56,38.19,328.8,14.8,2026-03-16 15:57:57.202,50,Moderate
22.46,6.53,45.57,331.32,9.08,2026-03-16 16:00:57.202,50,Moderate
22.44,6.52,46.93,332.84,14.98,2026-03-16 16:03:57.202,50,Moderate
22.65,6.47,39.5,332.93,19.24,2026-03-16 16:06:57.202,65,High
24.1,6.48,22.44,332.5,9.83,2026-03-16 16:09:57.202,30,Safe
24.84,6.47,21.61,331.88,16.27,2026-03-16 16:12:57.202,30,Safe
25.16,6.45,22.2,332.05,10.85,2026-03-16 16:15:57.202,30,Safe
25.46,6.45,19.82,332.68,8.76,2026-03-16 16:18:57.202,15,Safe
25.61,6.42,21.96,332.6,19.85,2026-03-16 16:21:57.202,30,Safe
25.5,6.39,22.2,333.88,19.6,2026-03-16 16:24:57.202,30,Safe
25.57,6.35,18.73,331.45,8.3,2026-03-16 16:27:57.202,15,Safe
25.52,6.36,19.28,332.01,10.77,2026-03-16 16:30:57.202,15,Safe
25.52,6.32,16.98,331.34,15.51,2026-03-16 16:33:57.202,15,Safe
25.64,6.3,17.27,330.57,0.74,2026-03-16 16:36:57.202,15,Safe
25.67,6.26,19.12,329.79,13.1,2026-03-16 16:39:57.202,15,Safe
25.64,6.25,16.24,330.87,7.6,2026-03-16 16:42:57.202,15,Safe
25.53,6.21,16.89,330.38,14.94,2026-03-16 16:45:57.202,15,Safe
25.48,6.2,18.67,330.69,5.87,2026-03-16 16:48:57.202,15,Safe
25.49,6.19,19.21,332.22,4.82,2026-03-16 16:51:57.202,15,Safe
25.47,6.21,17.7,332.32,3.16,2026-03-16 16:54:57.202,15,Safe
25.36,6.2,16.58,333.57,9.66,2026-03-16 16:57:57.202,15,Safe
25.42,6.21,17.5,333.41,13.72,2026-03-16 17:00:57.202,15,Safe
25.49,6.17,16.32,332.37,12.73,2026-03-16 17:03:57.202,15,Safe
25.58,6.17,19.06,332.71,8.82,2026-03-16 17:06:57.202,15,Safe
25.58,6.14,21.08,333.28,10.62,2026-03-16 17:09:57.202,30,Safe
25.65,6.12,16.32,334.87,19.26,2026-03-16 17:12:57.202,15,Safe
25.58,6.08,16.08,335.83,0.28,2026-03-16 17:15:57.202,15,Safe
25.62,6.04,17.42,336.67,0.5,2026-03-16 17:18:57.202,15,Safe
25.58,6.04,17.89,337.41,2.8,2026-03-16 17:21:57.202,15,Safe
25.62,6.03,19.03,336.66,18.92,2026-03-16 17:24:57.202,15,Safe
25.62,6.01,17.1,334.68,7.41,2026-03-16 17:27:57.202,15,Safe
25.52,6.0,18.16,334.68,3.8,2026-03-16 17:30:57.202,15,Safe
25.56,6.0,16.4,335.25,2.52,2026-03-16 17:33:57.202,15,Safe
25.61,6.0,18.14,335.23,0.06,2026-03-16 17:36:57.202,15,Safe
25.69,6.0,17.99,335.32,4.76,2026-03-16 17:39:57.202,15,Safe
25.74,6.0,17.8,334.61,2.18,2026-03-16 17:42:57.202,15,Safe
25.53,6.0,17.19,335.63,9.58,2026-03-16 17:45:57.202,15,Safe
25.63,6.0,16.81,335.45,12.66,2026-03-16 17:48:57.202,15,Safe
25.62,6.0,18.38,335.06,13.02,2026-03-16 17:51:57.202,15,Safe
25.68,6.0,19.45,335.29,8.54,2026-03-16 17:54:57.202,15,Safe
25.58,6.01,16.05,334.64,16.24,2026-03-16 17:57:57.202,15,Safe
25.54,6.0,18.04,334.4,14.42,2026-03-16 18:00:57.202,15,Safe
25.61,6.0,13.64,335.04,7.35,2026-03-16 18:03:57.202,15,Safe
25.64,6.0,18.36,335.08,18.58,2026-03-16 18:06:57.202,15,Safe
25.71,6.0,16.61,334.52,8.02,2026-03-16 18:09:57.202,15,Safe
25.68,6.0,16.31,334.36,15.54,2026-03-16 18:12:57.202,15,Safe
25.68,6.0,16.96,334.05,8.84,2026-03-16 18:15:57.202,15,Safe
25.62,6.01,16.78,334.09,7.91,2026-03-16 18:18:57.202,15,Safe
25.49,6.02,15.69,335.68,3.51,2026-03-16 18:21:57.202,15,Safe
25.46,6.01,14.54,335.91,18.42,2026-03-16 18:24:57.202,15,Safe
25.62,6.0,17.02,335.16,12.36,2026-03-16 18:27:57.202,15,Safe
25.51,6.0,15.18,335.05,0.84,2026-03-16 18:30:57.202,15,Safe
25.6,6.0,13.09,335.26,0.73,2026-03-16 18:33:57.202,15,Safe
25.58,6.0,13.59,335.1,2.24,2026-03-16 18:36:57.202,15,Safe
25.57,6.0,15.0,336.62,1.51,2026-03-16 18:39:57.202,15,Safe
25.55,6.0,15.39,337.47,4.28,2026-03-16 18:42:57.202,15,Safe
25.64,6.01,15.1,336.94,1.61,2026-03-16 18:45:57.202,15,Safe
25.62,6.02,14.6,336.87,1.24,2026-03-16 18:48:57.202,15,Safe
25.72,6.0,15.88,336.76,3.95,2026-03-16 18:51:57.202,15,Safe
25.6,6.0,17.69,336.06,1.67,2026-03-16 18:54:57.202,15,Safe
25.58,6.0,11.94,335.82,1.88,2026-03-16 18:57:57.202,15,Safe
25.66,6.0,17.85,336.0,1.81,2026-03-16 19:00:57.202,15,Safe
25.68,6.0,13.92,336.14,0.51,2026-03-16 19:03:57.202,15,Safe
25.71,6.0,15.49,335.98,4.16,2026-03-16 19:06:57.202,15,Safe
25.65,6.0,16.53,336.48,3.74,2026-03-16 19:09:57.202,15,Safe
25.51,6.0,13.21,336.77,2.31,2026-03-16 19:12:57.202,15,Safe
25.66,6.0,11.36,336.91,4.37,2026-03-16 19:15:57.202,15,Safe
25.61,6.0,14.08,337.86,2.19,2026-03-16 19:18:57.202,15,Safe
25.69,6.0,11.72,338.44,1.87,2026-03-16 19:21:57.202,15,Safe
25.7,6.0,13.47,339.04,0.69,2026-03-16 19:24:57.202,15,Safe
25.74,6.0,13.81,338.82,0.56,2026-03-16 19:27:57.202,15,Safe
25.74,6.01,14.48,339.0,0.08,2026-03-16 19:30:57.202,15,Safe
25.52,6.01,12.92,338.43,4.87,2026-03-16 19:33:57.202,15,Safe
25.54,6.0,15.03,338.74,1.27,2026-03-16 19:36:57.202,15,Safe
25.62,6.0,11.26,337.89,2.73,2026-03-16 19:39:57.202,15,Safe
25.65,6.0,13.21,335.67,2.29,2026-03-16 19:42:57.202,15,Safe
25.68,6.0,9.73,336.31,3.77,2026-03-16 19:45:57.202,15,Safe
25.6,6.0,12.63,335.05,4.47,2026-03-16 19:48:57.202,15,Safe
25.62,6.01,13.04,334.81,3.01,2026-03-16 19:51:57.202,15,Safe
25.52,6.0,16.63,336.83,1.76,2026-03-16 19:54:57.202,15,Safe
25.63,6.0,12.04,337.0,1.82,2026-03-16 19:57:57.202,15,Safe
25.58,6.01,10.79,336.23,1.83,2026-03-16 20:00:57.202,15,Safe
25.7,6.02,13.67,335.57,1.99,2026-03-16 20:03:57.202,15,Safe
25.74,6.0,11.09,336.16,2.23,2026-03-16 20:06:57.202,15,Safe
25.68,6.0,13.12,334.59,0.44,2026-03-16 20:09:57.202,15,Safe
25.64,6.02,11.73,335.58,4.64,2026-03-16 20:12:57.202,15,Safe
25.63,6.01,11.25,336.94,1.84,2026-03-16 20:15:57.202,15,Safe
25.61,6.03,10.29,336.16,4.12,2026-03-16 20:18:57.202,15,Safe
25.66,6.03,11.19,336.5,0.91,2026-03-16 20:21:57.202,15,Safe
25.69,6.02,10.43,336.24,1.73,2026-03-16 20:24:57.202,15,Safe
25.73,6.0,13.08,335.17,2.51,2026-03-16 20:27:57.202,15,Safe
25.62,6.01,10.15,334.33,0.14,2026-03-16 20:30:57.202,15,Safe
25.68,6.01,8.92,334.67,1.45,2026-03-16 20:33:57.202,15,Safe
